,Aga1,Aga2,Aga3,Aga4,Aga5,Aga6,Aga7,Aga8,Aga9,Aga10,Aga11,Aga12,Aga13,Aga14,Aga15,Aga16,Aga17,Aga18,Aga19,Aga20,Aga21,Aga22,Aga23,Aga24,Aga25,Aga26,Aga27,Aga28,Aga29,Aga30,Aga31,Aga32,Aga33,Aga34,Aga35,Aga36,Aga37,Aga38,Aga39,Aga40,Aga41,Aga42,Aga43,Aga44,Aga45,Aga46,Aga47,Aga48,Aga49,Aga50,Aga51,Aga52,Aga53,Kiri1,Kiri2,Kiri3,Kiri4,Kiri5,Kiri6,Kiri7,Kiri8,Kiri9,Kiri10,Kiri11,Kiri12,Kiri13,Kiri14,Kiri15,Kiri16,Kiri17,Kiri18,Kiri19,Kiri20,Kiri21,Kiri22,Kiri23,Kiri24,Kiri25,Kiri26,Kiri27,Kiri28,Kiri29,Kiri30,Kiri31,Kiri32,Kiri33,Kiri34,Kiri35,Kiri36,Kiri37,Kiri38,Kiri39,Kiri40,Kiri41,Kiri42,Kiri43,Kiri44,Kiri45,Kiri46,Kiri47,Kiri48,Kiri49,Kiri50,Kiri51,Kiri52,Kiri53
908.1,0.280494,0.27917,0.277852,0.327163,0.331129,0.323391,0.299286,0.303296,0.280618,0.267844,0.262576,0.259639,0.235698,0.2257,0.241264,0.227487,0.207956,0.211039,0.212571,0.220174,0.208232,0.228498,0.196428,0.22948,0.189577,0.195715,0.190213,0.190919,0.180871,0.168009,0.187075,0.189533,0.187463,0.152766,0.155156,0.153072,0.158071,0.152577,0.164272,0.185984,0.177586,0.167962,0.184146,0.185681,0.186529,0.190555,0.194782,0.198653,0.192527,0.154395,0.194084,0.158356,0.165157,0.320014,0.314025,0.32496,0.310742,0.28115,0.299189,0.288782,0.272254,0.249301,0.227276,0.215719,0.22706,0.209093,0.203195,0.190644,0.180763,0.186483,0.180302,0.159542,0.172192,0.161377,0.161839,0.159907,0.161784,0.146197,0.134902,0.142012,0.134621,0.13514,0.121091,0.130182,0.132018,0.119538,0.135003,0.107577,0.110932,0.109735,0.109212,0.108877,0.114677,0.125955,0.122728,0.1259,0.129528,0.135931,0.129079,0.138895,0.141922,0.140485,0.133724,0.136346,0.126519,0.131481
914.294355,0.265702,0.264627,0.263502,0.313358,0.318494,0.310956,0.287514,0.292271,0.269475,0.257351,0.251672,0.249885,0.226134,0.21641,0.232074,0.217663,0.198719,0.202037,0.203301,0.211212,0.199904,0.219714,0.188101,0.220991,0.180805,0.187061,0.181564,0.182271,0.172592,0.159432,0.17862,0.181283,0.179473,0.144436,0.146647,0.144796,0.149559,0.14399,0.156128,0.17847,0.169696,0.159337,0.175951,0.177527,0.17832,0.182767,0.186974,0.191104,0.184814,0.146189,0.18812,0.152921,0.160587,0.304689,0.299114,0.309858,0.297706,0.268348,0.287651,0.277849,0.262235,0.239876,0.218572,0.208152,0.218911,0.201381,0.196447,0.184531,0.17451,0.180013,0.174551,0.153568,0.166921,0.156196,0.156709,0.154504,0.156497,0.140852,0.129892,0.1372,0.129716,0.130359,0.11622,0.125283,0.127455,0.114861,0.130513,0.102726,0.106343,0.105013,0.104615,0.104231,0.109741,0.121271,0.118068,0.121418,0.125166,0.131827,0.124857,0.134449,0.13768,0.136398,0.129881,0.133154,0.123491,0.128964
920.48871,0.258145,0.257309,0.256266,0.306113,0.312535,0.304794,0.281508,0.286618,0.263861,0.252112,0.246164,0.244803,0.220951,0.211602,0.227606,0.212706,0.193832,0.197177,0.198403,0.206699,0.1954,0.21506,0.183744,0.216687,0.176124,0.182365,0.176697,0.177496,0.167923,0.154636,0.173733,0.176729,0.174996,0.139629,0.141956,0.139975,0.14453,0.139347,0.151503,0.174405,0.165407,0.154977,0.171367,0.173019,0.17389,0.178405,0.182602,0.186919,0.180388,0.141673,0.184912,0.149949,0.158095,0.296651,0.290866,0.301813,0.290703,0.261533,0.281424,0.272012,0.256863,0.235018,0.213763,0.204136,0.21461,0.197261,0.192775,0.180979,0.171065,0.176616,0.171072,0.149969,0.164168,0.153083,0.153785,0.15164,0.153757,0.137784,0.126711,0.134318,0.12671,0.127478,0.113164,0.122543,0.12457,0.111953,0.127687,0.099598,0.103503,0.102071,0.101683,0.1014,0.106922,0.118508,0.115367,0.118669,0.122561,0.129406,0.122277,0.132007,0.135001,0.134065,0.127745,0.131206,0.121823,0.127516
926.683065,0.254715,0.254085,0.252741,0.302843,0.309762,0.302386,0.278933,0.284293,0.261219,0.249946,0.2434,0.242631,0.218566,0.209099,0.225398,0.210208,0.191378,0.19495,0.195825,0.204349,0.193019,0.21255,0.181416,0.214505,0.173662,0.180014,0.174106,0.174757,0.165357,0.152012,0.171261,0.174319,0.172296,0.137006,0.139185,0.137316,0.141764,0.136675,0.148804,0.17237,0.163093,0.152383,0.169026,0.17066,0.17157,0.176048,0.180323,0.184618,0.177962,0.138954,0.182765,0.148145,0.156514,0.292588,0.28701,0.297813,0.287176,0.258348,0.278995,0.269536,0.254462,0.232617,0.211629,0.202039,0.212254,0.1951,0.190951,0.179245,0.169304,0.174781,0.169327,0.148044,0.162421,0.151623,0.152022,0.150014,0.152001,0.135894,0.12499,0.13247,0.124864,0.125701,0.111322,0.120986,0.122751,0.110042,0.126037,0.097722,0.101729,0.100106,0.099907,0.099536,0.105366,0.116805,0.11367,0.117097,0.121023,0.127694,0.120593,0.130406,0.133396,0.132365,0.126156,0.129806,0.120669,0.126503
932.877419,0.23832,0.23789,0.237229,0.287888,0.29577,0.288995,0.266281,0.272413,0.249474,0.238364,0.231548,0.23208,0.208199,0.199049,0.21567,0.199885,0.181625,0.185013,0.186144,0.195042,0.18393,0.20308,0.172441,0.20563,0.164518,0.170739,0.164991,0.165676,0.156601,0.143025,0.162393,0.165322,0.163393,0.127943,0.130332,0.128316,0.132691,0.127718,0.140038,0.163387,0.15408,0.143002,0.159973,0.161786,0.162775,0.167672,0.171847,0.176427,0.16983,0.130394,0.175468,0.141717,0.150509,0.276021,0.270498,0.282191,0.273343,0.244662,0.26654,0.257936,0.243729,0.22254,0.202162,0.193813,0.203517,0.186652,0.183642,0.172838,0.16274,0.168218,0.163083,0.141714,0.156648,0.145907,0.146464,0.144515,0.146449,0.130416,0.119599,0.127218,0.119777,0.12044,0.106135,0.115964,0.117836,0.104972,0.121227,0.092772,0.097142,0.09535,0.095151,0.094759,0.099914,0.111683,0.108631,0.112314,0.116387,0.123102,0.116121,0.125823,0.128788,0.128187,0.121898,0.126024,0.117478,0.123814
939.071774,0.235014,0.234658,0.234005,0.284406,0.292522,0.285228,0.263001,0.268598,0.246166,0.235362,0.228344,0.2292,0.205194,0.196293,0.213039,0.196842,0.17861,0.182075,0.183117,0.19199,0.18093,0.200279,0.169461,0.202718,0.161473,0.16776,0.162084,0.16255,0.153599,0.140006,0.159299,0.162505,0.160567,0.12473,0.127285,0.125118,0.129762,0.124678,0.137026,0.16165,0.151731,0.140246,0.157117,0.158874,0.159864,0.164922,0.169112,0.173637,0.166992,0.127331,0.173946,0.139634,0.148555,0.272735,0.267139,0.278513,0.270066,0.240739,0.262806,0.254523,0.240292,0.219486,0.199296,0.191372,0.201034,0.184264,0.181425,0.170811,0.160685,0.16597,0.161042,0.13946,0.154655,0.143765,0.144453,0.142564,0.144336,0.128346,0.117621,0.125236,0.11767,0.118528,0.104032,0.113876,0.116082,0.102969,0.119271,0.090819,0.094913,0.093396,0.093133,0.092618,0.098389,0.109953,0.106818,0.11041,0.114558,0.121308,0.114267,0.123947,0.126977,0.126398,0.120228,0.124708,0.116267,0.122598
945.266129,0.236999,0.236395,0.235122,0.285448,0.293493,0.286076,0.26338,0.268991,0.246712,0.235553,0.228948,0.229481,0.205479,0.19625,0.213162,0.197041,0.178293,0.182147,0.182932,0.191839,0.180746,0.200214,0.169235,0.20263,0.161252,0.167556,0.16165,0.162301,0.153203,0.139483,0.158898,0.162034,0.159956,0.124355,0.126772,0.124573,0.129135,0.124116,0.136496,0.162362,0.152075,0.140137,0.156936,0.158611,0.159357,0.164392,0.16852,0.17315,0.166396,0.126493,0.174157,0.139538,0.148206,0.274482,0.26848,0.279292,0.270627,0.241356,0.263227,0.254698,0.240282,0.219839,0.199203,0.191297,0.201046,0.184317,0.181319,0.170368,0.160595,0.165638,0.160661,0.139003,0.154322,0.143377,0.143998,0.142115,0.143725,0.127788,0.116973,0.124623,0.11703,0.117856,0.103325,0.113105,0.115278,0.102107,0.118544,0.08988,0.093868,0.092279,0.092129,0.09183,0.098006,0.109361,0.105899,0.109666,0.113608,0.120672,0.113303,0.123085,0.126229,0.125643,0.119245,0.124241,0.115549,0.122025
951.460484,0.235228,0.234479,0.232834,0.283403,0.291198,0.283722,0.261046,0.266865,0.24428,0.23332,0.226732,0.227384,0.203275,0.19408,0.211064,0.195165,0.176287,0.179732,0.18083,0.189722,0.178537,0.198032,0.167151,0.200664,0.158977,0.165358,0.159228,0.15993,0.150837,0.137089,0.156401,0.159657,0.157611,0.121712,0.124402,0.122201,0.12667,0.121645,0.134235,0.160656,0.150136,0.137943,0.154637,0.156354,0.157006,0.161949,0.166313,0.170761,0.164016,0.124009,0.172167,0.13765,0.146186,0.272584,0.266293,0.277015,0.26843,0.239242,0.260875,0.252759,0.238174,0.217929,0.197368,0.189567,0.199109,0.182548,0.179662,0.168925,0.158879,0.164156,0.158958,0.137323,0.15271,0.141754,0.14223,0.140375,0.142055,0.126067,0.11508,0.122805,0.115177,0.116002,0.101318,0.111313,0.113389,0.100249,0.116574,0.087827,0.092052,0.090335,0.090217,0.08987,0.096227,0.107552,0.104048,0.107637,0.111842,0.118762,0.111414,0.121277,0.124304,0.12363,0.117333,0.122616,0.114063,0.120533
957.654839,0.224562,0.223756,0.222665,0.273166,0.281885,0.274506,0.252301,0.258346,0.23591,0.225301,0.218575,0.219914,0.195902,0.18695,0.204066,0.187758,0.169182,0.1728,0.17404,0.182913,0.171727,0.191054,0.160471,0.194161,0.15228,0.158586,0.15237,0.152997,0.144189,0.130422,0.149619,0.152876,0.150974,0.115103,0.117907,0.115649,0.119922,0.115027,0.127611,0.154265,0.143524,0.131257,0.14805,0.149785,0.150398,0.155607,0.15988,0.164672,0.157881,0.117575,0.166343,0.132475,0.141247,0.262,0.255898,0.266808,0.259081,0.230088,0.252386,0.244852,0.230603,0.211107,0.190839,0.183828,0.192914,0.176634,0.174371,0.163956,0.154055,0.159147,0.15428,0.13259,0.148363,0.137424,0.137755,0.135936,0.137792,0.121699,0.110771,0.118545,0.110905,0.111782,0.097143,0.107235,0.10927,0.096016,0.112425,0.08388,0.088176,0.086358,0.08635,0.086009,0.092174,0.103493,0.100117,0.103686,0.107948,0.114983,0.107657,0.117521,0.120475,0.120181,0.113882,0.11927,0.111263,0.118131
963.849194,0.219204,0.218307,0.217476,0.267706,0.276915,0.269849,0.247581,0.253805,0.231785,0.221167,0.214388,0.215882,0.19201,0.183274,0.200259,0.184115,0.165498,0.169271,0.170335,0.1793,0.168032,0.187655,0.15693,0.190574,0.148609,0.154926,0.148898,0.149278,0.14065,0.126961,0.146007,0.149331,0.147482,0.111628,0.114477,0.112167,0.116462,0.11149,0.124077,0.151009,0.140162,0.127709,0.144484,0.146405,0.146909,0.152162,0.156503,0.161272,0.154609,0.114174,0.163477,0.130077,0.139035,0.255863,0.24995,0.260669,0.253506,0.22484,0.247397,0.239836,0.22595,0.207015,0.186821,0.1804,0.189218,0.173014,0.171092,0.160943,0.151069,0.155919,0.151159,0.12963,0.145828,0.134598,0.135106,0.133204,0.134963,0.118865,0.108023,0.1158,0.108066,0.109028,0.094493,0.104569,0.106618,0.093426,0.109863,0.081289,0.085528,0.083782,0.0837,0.083281,0.089497,0.100742,0.097436,0.1012,0.10558,0.11258,0.105206,0.11489,0.118103,0.117945,0.111481,0.117089,0.109485,0.116597
